Date Pptn Tmax Tmin Wind
1951-01-01 0.0 21.07 2.13 2.7355
1951-01-02 0.0 21.61 3.23 1.5526
1951-01-03 0.0 21.78 3.07 2.0869999999999997
1951-01-04 0.0 21.13 3.97 4.2212
1951-01-05 0.0 22.07 5.68 5.2635
1951-01-06 0.0 22.01 8.48 5.5109
1951-01-07 2.9781 20.49 9.04 5.2757
1951-01-08 0.0 22.31 8.12 1.8027
1951-01-09 0.0 22.0 6.2 2.7289
1951-01-10 0.0 21.16 4.89 3.6486
1951-01-11 0.0 22.98 5.69 3.8816
1951-01-12 0.0 25.43 8.1 2.5205
1951-01-13 0.0 25.28 8.96 2.1823
1951-01-14 0.0 23.31 8.45 4.1274
1951-01-15 2.274 23.22 9.68 2.8937
1951-01-16 0.82514 21.04 10.93 0.8377600000000001
1951-01-17 0.0 19.79 6.16 1.4435
1951-01-18 0.0 19.62 5.56 2.6628
1951-01-19 0.0 20.84 6.85 3.3176
1951-01-20 0.0 20.18 6.51 3.3118
1951-01-21 0.0 20.22 5.09 3.1569
1951-01-22 0.0 19.38 4.47 2.4885
1951-01-23 0.0 19.6 3.22 3.1759
1951-01-24 0.0 19.93 2.96 2.2554
1951-01-25 0.0 20.88 3.26 0.87164
1951-01-26 0.0 22.84 4.42 3.7999
1951-01-27 0.0 23.26 5.49 2.7741
1951-01-28 0.0 24.66 5.31 2.1583
1951-01-29 0.0 25.94 7.54 0.67938
1951-01-30 0.0 26.32 7.86 4.5933
1951-01-31 0.0 25.36 7.53 3.6715
1951-02-01 0.0 24.41 7.11 1.9569
1951-02-02 0.0 23.04 5.41 4.9475
1951-02-03 0.0 17.94 2.23 3.5911
1951-02-04 0.0 18.22 3.71 3.4281
1951-02-05 0.0 19.25 8.64 4.6207
1951-02-06 0.0 19.35 6.55 2.3734
1951-02-07 0.0 19.3 5.76 2.7115
1951-02-08 0.0 22.99 7.03 2.063
1951-02-09 0.0 27.01 8.12 2.234
1951-02-10 0.0 28.66 10.37 3.8215
1951-02-11 0.0 24.75 7.39 4.0493
1951-02-12 0.0 23.8 5.59 4.3146
1951-02-13 0.0 22.53 5.66 4.5969999999999995
1951-02-14 0.0 24.3 7.1 4.765
1951-02-15 0.0 25.32 7.17 4.9495
1951-02-16 0.0 25.04 5.97 5.8917
1951-02-17 0.0 24.95 6.56 5.8559
1951-02-18 0.0 27.47 8.53 3.3360000000000003
1951-02-19 0.0 30.8 9.91 3.716
1951-02-20 0.0 31.53 11.72 5.7567
1951-02-21 0.0 29.58 8.55 4.0159
1951-02-22 0.0 30.66 9.48 1.0392
1951-02-23 0.0 31.74 10.88 4.2481
1951-02-24 0.0 31.9 10.46 3.6011
1951-02-25 0.0 32.54 11.34 4.213
1951-02-26 0.0 31.52 11.96 4.4214
1951-02-27 0.0 30.82 11.32 3.4578
1951-02-28 0.0 30.99 11.06 4.1107
1951-03-01 0.0 31.8 11.86 3.7038
1951-03-02 0.0 32.88 10.84 4.3456
1951-03-03 0.0 32.46 12.22 4.5298
1951-03-04 0.0 31.92 12.09 4.0755
1951-03-05 0.0 32.78 13.1 3.2668
1951-03-06 0.0 34.99 14.96 1.1218
1951-03-07 0.0 35.49 15.27 3.1632
