Date Pptn Tmax Tmin Wind
1951-01-01 0.0 20.28 6.22 1.8922
1951-01-02 0.0 21.11 5.69 1.9989
1951-01-03 0.0 20.91 5.34 1.4226
1951-01-04 0.0 21.17 5.61 2.1561
1951-01-05 0.0 21.28 6.78 3.5057
1951-01-06 0.0 21.79 7.44 3.0545
1951-01-07 0.0 21.81 8.83 3.7214
1951-01-08 0.33881 21.77 10.1 1.742
1951-01-09 0.0 23.24 9.29 2.5638
1951-01-10 0.0 21.86 7.71 2.7346
1951-01-11 0.0 22.38 7.2 1.9713
1951-01-12 0.0 23.89 8.54 1.4575
1951-01-13 0.35923 24.86 11.41 4.3398
1951-01-14 1.489 23.94 10.9 2.7584
1951-01-15 0.0 24.44 11.53 3.6952
1951-01-16 24.195 21.81 13.14 4.1291
1951-01-17 6.6598 19.11 11.25 3.6365
1951-01-18 0.0 18.31 8.6 3.6660000000000004
1951-01-19 1.5326 19.97 8.08 5.9063
1951-01-20 3.4849 19.48 10.62 4.6613
1951-01-21 0.27105 18.98 7.59 3.6796
1951-01-22 0.0 19.09 7.08 2.8593
1951-01-23 0.0 19.63 6.11 2.4426
1951-01-24 0.0 19.52 6.02 2.4669
1951-01-25 0.0 20.25 5.75 1.3175
1951-01-26 0.0 21.06 5.96 0.9545100000000001
1951-01-27 0.0 22.08 7.03 1.334
1951-01-28 0.0 22.87 6.69 1.9292
1951-01-29 0.0 24.02 8.08 2.7710000000000004
1951-01-30 0.0 25.78 9.08 5.1179
1951-01-31 0.0 24.18 10.31 5.9876
1951-02-01 2.326 22.3 11.06 5.2129
1951-02-02 0.0 24.77 10.28 1.5987
1951-02-03 0.0 22.44 5.74 3.9559
1951-02-04 0.0 19.04 6.39 3.9916
1951-02-05 3.6658 19.89 10.99 4.8481
1951-02-06 13.603 17.13 10.7 3.7318
1951-02-07 0.0 18.67 8.85 2.6844
1951-02-08 0.0 20.56 9.52 3.6426
1951-02-09 0.0 25.39 10.27 2.2129
1951-02-10 0.0 27.46 14.1 1.8856
1951-02-11 0.19528 26.03 11.62 2.4029
1951-02-12 0.0 25.23 8.7 3.5445
1951-02-13 0.0 22.55 8.37 4.5816
1951-02-14 0.0 23.99 9.82 6.274
1951-02-15 0.0 24.87 9.46 5.0856
1951-02-16 0.0 24.55 8.39 5.1019
1951-02-17 0.0 24.3 8.83 4.1776
1951-02-18 0.0 25.76 9.14 1.9305
1951-02-19 0.0 27.94 11.22 2.3147
1951-02-20 0.0 30.01 12.55 4.6191
1951-02-21 0.0 28.73 10.76 4.0292
1951-02-22 0.0 29.24 11.38 2.9884
1951-02-23 0.0 30.48 12.85 3.8156
1951-02-24 0.0 31.53 12.24 4.4897
1951-02-25 0.0 32.17 12.68 3.9506
1951-02-26 0.0 31.94 12.83 4.5499
1951-02-27 0.0 30.65 12.64 4.0337
