Date Pptn Tmax Tmin Wind
1951-01-01 0.0 26.05 7.91 4.1017
1951-01-02 0.0 26.83 8.62 3.3868
1951-01-03 0.0 27.68 9.76 2.0271
1951-01-04 0.0 27.82 10.0 1.8227
1951-01-05 0.0 27.31 9.54 1.4524
1951-01-06 0.0 27.55 12.06 1.8242
1951-01-07 0.0 28.53 11.87 1.112
1951-01-08 0.0 28.24 11.67 3.3283
1951-01-09 0.0 27.53 9.96 2.9037
1951-01-10 0.0 27.66 10.21 2.8168
1951-01-11 0.0 29.33 10.91 2.0911
1951-01-12 0.0 28.18 10.86 2.3924
1951-01-13 0.0 26.86 11.28 4.363
1951-01-14 0.0 26.3 10.66 2.7272
1951-01-15 0.0 26.6 11.36 3.2469
1951-01-16 0.0 26.16 8.75 4.3374
1951-01-17 0.0 24.86 8.0 4.3227
1951-01-18 0.0 25.97 8.71 2.9932
1951-01-19 0.0 27.03 11.24 4.2668
1951-01-20 0.0 26.95 9.6 4.5676
1951-01-21 0.0 25.32 8.37 4.6804
1951-01-22 0.0 25.48 9.39 4.5873
1951-01-23 0.0 25.55 9.22 5.3108
1951-01-24 0.0 25.84 8.82 4.0951
1951-01-25 0.0 26.51 8.6 1.7378
1951-01-26 0.0 27.9 9.23 1.8125
1951-01-27 0.0 28.94 10.02 2.7427
1951-01-28 0.0 29.06 9.8 2.8480000000000003
1951-01-29 0.0 28.67 10.72 1.8246
1951-01-30 0.0 28.46 10.8 2.7854
1951-01-31 0.0 27.13 11.33 3.7152
1951-02-01 0.0 25.83 11.94 4.905
1951-02-02 0.0 24.72 6.27 4.553999999999999
1951-02-03 0.0 22.65 5.57 6.1191
1951-02-04 0.0 22.6 7.3 3.4136
1951-02-05 0.0 24.47 10.15 5.2633
1951-02-06 0.0 25.64 9.53 3.7794
1951-02-07 0.0 26.77 10.83 2.7174
1951-02-08 0.0 30.16 12.61 1.2231
1951-02-09 0.0 31.83 14.63 3.801
1951-02-10 0.0 31.52 12.97 4.5186
1951-02-11 0.0 27.52 9.04 4.3131
1951-02-12 0.0 26.76 8.49 5.1193
1951-02-13 0.0 27.7 9.67 4.8862
1951-02-14 0.0 29.43 10.71 3.6198
1951-02-15 0.0 29.64 10.69 4.9776
1951-02-16 0.0 30.19 10.99 4.8376
1951-02-17 0.0 31.65 12.96 4.8368
1951-02-18 0.0 32.9 12.5 1.2511
1951-02-19 0.0 34.04 13.69 4.8313
1951-02-20 0.0 33.37 14.53 4.2751
1951-02-21 0.0 34.32 14.13 1.8004
1951-02-22 0.0 35.94 14.89 1.6784
1951-02-23 0.0 34.52 14.33 4.2132
1951-02-24 0.0 35.54 14.96 2.3874
1951-02-25 0.0 33.02 14.83 1.824
1951-02-26 0.0 33.52 14.85 1.9769999999999999
1951-02-27 0.0 34.01 15.36 3.443
1951-02-28 0.0 33.89 14.78 3.9907
1951-03-01 0.0 35.64 15.5 3.1054
1951-03-02 0.0 36.65 17.14 4.1939
1951-03-03 0.0 36.79 17.65 6.1926
1951-03-04 0.0 37.15 17.36 2.8364
1951-03-05 0.0 37.13 17.07 1.0811
1951-03-06 0.0 37.46 17.86 3.7439999999999998
1951-03-07 0.0 37.62 18.69 3.9388
1951-03-08 0.0 37.26 19.08 3.4904
