Date Pptn Tmax Tmin Wind
1951-01-01 0.0 23.0 4.35 2.2609
1951-01-02 0.0 23.55 5.61 1.8156
1951-01-03 0.0 23.5 5.33 1.425
1951-01-04 0.0 23.59 6.25 1.4169
1951-01-05 0.0 23.99 7.4 1.1548
1951-01-06 0.0 24.49 10.09 2.6411
1951-01-07 0.0 24.68 10.36 1.8494
1951-01-08 0.0 24.7 8.02 2.764
1951-01-09 0.0 23.45 6.83 2.9004
1951-01-10 0.0 23.26 7.19 2.4524
1951-01-11 0.0 25.6 8.07 3.1393
1951-01-12 0.0 25.89 8.7 3.4234
1951-01-13 0.0 25.16 8.8 2.3541
1951-01-14 0.0 22.76 7.85 3.4955
1951-01-15 0.0 22.79 8.96 2.5765
1951-01-16 0.0 22.25 7.99 3.912
1951-01-17 0.0 22.4 5.8 2.4028
1951-01-18 0.0 23.19 7.13 3.0060000000000002
1951-01-19 0.0 23.95 8.28 4.2746
1951-01-20 0.0 23.38 6.37 3.7157
1951-01-21 0.0 21.4 5.79 3.2569999999999997
1951-01-22 0.0 21.63 6.07 3.6345
1951-01-23 0.0 21.63 4.57 3.8203
1951-01-24 0.0 22.05 4.97 1.618
1951-01-25 0.0 23.3 6.14 3.612
1951-01-26 0.0 25.05 7.27 4.8642
1951-01-27 0.0 26.24 7.86 3.0761
1951-01-28 0.0 27.55 7.95 4.5183
1951-01-29 0.0 26.08 8.72 2.4354
1951-01-30 0.0 25.54 9.33 0.8578399999999999
1951-01-31 0.0 25.11 8.36 3.9787
1951-02-01 0.0 24.44 7.92 5.3098
1951-02-02 0.0 20.27 3.32 3.3528
1951-02-03 0.0 18.55 3.23 4.6951
1951-02-04 0.0 18.3 4.29 3.5325
1951-02-05 0.0 20.18 7.35 4.0638
1951-02-06 0.0 22.13 5.82 3.8304
1951-02-07 0.0 23.54 8.18 3.7073
1951-02-08 0.0 26.92 9.09 2.2006
1951-02-09 0.0 28.38 10.97 4.3331
1951-02-10 0.0 28.44 9.93 5.3882
1951-02-11 0.0 24.93 6.78 3.2908
1951-02-12 0.0 22.46 6.04 4.2058
1951-02-13 0.0 23.18 7.32 4.0884
1951-02-14 0.0 25.9 8.42 1.8338
1951-02-15 0.0 26.58 8.28 4.3869
1951-02-16 0.0 26.71 7.21 3.2356
1951-02-17 0.0 27.58 9.61 2.8873
1951-02-18 0.0 30.07 10.8 1.2847
1951-02-19 0.0 33.06 13.1 6.1009
1951-02-20 0.0 31.27 12.39 3.8501
1951-02-21 0.0 30.79 11.42 0.19222999999999998
1951-02-22 0.0 32.9 11.78 3.0059
1951-02-23 0.0 33.12 12.62 4.1016
1951-02-24 0.0 34.41 12.54 4.4703
1951-02-25 0.0 32.91 13.97 4.5188
1951-02-26 0.0 32.65 13.48 3.5723
1951-02-27 0.0 32.83 14.28 5.019
1951-02-28 0.0 32.33 13.25 5.2421
1951-03-01 0.0 34.69 13.65 4.489
1951-03-02 0.0 34.75 14.1 4.2493
1951-03-03 0.0 33.84 15.91 5.2487
1951-03-04 0.0 33.93 14.68 4.0762
1951-03-05 0.0 35.32 15.72 0.57567
1951-03-06 0.0 35.45 17.74 4.1701
1951-03-07 0.0 34.83 18.27 5.2685
1951-03-08 0.0 34.86 17.21 4.9138
1951-03-09 0.0 34.61 18.28 4.435
1951-03-10 0.0 32.63 17.1 3.7218
1951-03-11 0.0 32.49 17.46 3.818
1951-03-12 0.0 30.15 13.79 4.0148
1951-03-13 0.0 29.95 13.31 2.7962
1951-03-14 0.0 31.07 13.58 2.7921
1951-03-15 0.0 32.13 14.36 1.4279
1951-03-16 0.0 34.5 16.67 0.9818600000000001
1951-03-17 0.0 34.22 17.13 4.0197
1951-03-18 0.0 34.14 17.47 4.9716
1951-03-19 0.0 32.47 18.93 4.5427
1951-03-20 0.0 30.47 16.52 3.4179
1951-03-21 0.0 30.28 15.37 1.6469999999999998
1951-03-22 0.0 31.1 18.36 3.8953
1951-03-23 0.0 31.31 19.66 5.3609
1951-03-24 0.0 29.93 17.76 6.3874
1951-03-25 0.1322 28.07 15.82 5.8823
1951-03-26 0.0 27.97 14.29 5.9646
1951-03-27 0.0 27.23 15.44 1.8159999999999998
1951-03-28 0.0 29.97 16.53 3.2321
1951-03-29 0.0 29.16 16.75 1.5065
1951-03-30 2.81 30.31 16.6 4.5725
1951-03-31 0.0 30.39 16.41 3.68
1951-04-01 0.0 30.31 17.28 2.9788
1951-04-02 0.9340700000000001 31.12 17.58 5.7005
1951-04-03 0.0 31.12 16.68 4.8612
1951-04-04 0.0 30.22 17.67 1.8608
1951-04-05 0.0 31.01 18.44 0.89271
1951-04-06 0.0 32.89 19.62 4.1388
1951-04-07 0.0 33.13 16.62 6.087000000000001
1951-04-08 0.0 28.66 14.3 4.5878
1951-04-09 0.0 29.68 14.72 4.007
1951-04-10 0.0 31.17 14.86 1.6486
1951-04-11 0.0 33.09 16.81 1.8823
1951-04-12 0.0 35.56 18.79 3.2813
1951-04-13 0.0 37.07 20.44 1.1228
1951-04-14 0.0 38.59 21.16 3.4886
1951-04-15 0.0 39.92 21.91 3.3280000000000003
1951-04-16 0.0 39.89 23.19 0.28454
1951-04-17 0.0 39.41 24.5 5.3503
1951-04-18 0.0 39.23 23.9 5.8783
1951-04-19 0.0 36.15 23.17 3.9084
1951-04-20 0.0 35.33 19.37 4.7551
