Date Pptn Tmax Tmin Wind
1951-01-01 0.0 23.7 9.14 2.533
1951-01-02 0.0 22.62 7.21 2.9154
1951-01-03 0.0 22.74 6.85 2.0543
1951-01-04 0.0 23.41 7.17 2.9671
1951-01-05 0.0 23.71 8.79 3.9211
1951-01-06 0.0 24.6 9.0 3.4819999999999998
1951-01-07 0.0 24.78 8.41 2.5705
1951-01-08 0.0 25.07 9.3 2.7307
1951-01-09 0.0 25.87 10.67 4.919
1951-01-10 0.0 26.33 10.32 2.5174
1951-01-11 0.0 24.26 9.31 3.5797
1951-01-12 0.0 24.99 8.34 1.5563
1951-01-13 0.0 25.72 10.37 0.68584
1951-01-14 0.0 27.2 11.64 0.64983
1951-01-15 0.0 26.95 11.96 0.40949
1951-01-16 0.36877 28.04 13.72 0.70007
1951-01-17 0.14188 27.5 14.89 1.5327
1951-01-18 0.17019 25.09 10.25 1.3189
1951-01-19 0.0 23.8 9.31 1.922
1951-01-20 3.3466 24.4 12.92 0.44687
1951-01-21 1.119 21.98 12.24 1.236
1951-01-22 0.0 22.38 10.69 1.2932
1951-01-23 0.0 21.86 8.42 1.7736
1951-01-24 0.0 22.25 7.08 2.2212
1951-01-25 0.0 22.38 6.59 1.6002
1951-01-26 0.0 22.47 7.1 0.8424200000000001
1951-01-27 0.0 23.85 7.23 1.0472
1951-01-28 0.0 24.52 7.77 1.0653
1951-01-29 0.0 25.15 7.59 1.2009999999999998
1951-01-30 0.0 25.54 8.21 0.7552800000000001
1951-01-31 0.0 26.54 10.31 1.5029
1951-02-01 0.0 27.27 12.35 1.1657
1951-02-02 0.0 28.85 12.65 0.19293
1951-02-03 0.0 27.62 12.24 3.7347
1951-02-04 0.0 25.99 9.16 2.4641
1951-02-05 0.0 25.5 10.54 0.83691
1951-02-06 0.0 24.37 11.92 1.7141
1951-02-07 0.0 26.1 13.94 2.9104
1951-02-08 0.0 25.05 11.32 4.1967
1951-02-09 0.0 26.12 11.94 2.8624
1951-02-10 0.0 28.85 12.12 1.0931
1951-02-11 0.0 31.55 13.94 2.9386
1951-02-12 0.0 30.84 14.98 2.6773
1951-02-13 0.0 28.51 11.68 5.367999999999999
1951-02-14 0.0 28.09 11.09 6.4337
1951-02-15 0.0 28.01 11.28 6.5973
1951-02-16 0.34038 27.36 10.9 5.3237
1951-02-17 0.0 26.98 9.83 3.5509
1951-02-18 0.0 26.47 10.19 1.0499
1951-02-19 0.0 27.62 10.89 0.86441
1951-02-20 0.0 29.02 12.58 3.8916
1951-02-21 0.0 30.61 11.91 4.7
1951-02-22 0.0 31.09 11.65 4.4348
1951-02-23 0.0 31.75 14.17 4.1819
1951-02-24 0.0 32.68 13.34 3.9715
1951-02-25 0.0 33.17 15.15 3.9675
1951-02-26 0.0 34.01 15.12 4.784
1951-02-27 0.0 33.23 15.08 6.0487
1951-02-28 0.0 32.66 14.56 5.6079
1951-03-01 0.0 32.53 14.33 5.7666
1951-03-02 0.0 32.74 15.58 5.1119
