Date Pptn Tmax Tmin Wind
1951-01-01 0.0 26.62 10.68 3.6445
1951-01-02 0.0 25.4 9.01 3.1997
1951-01-03 0.0 26.23 9.09 2.9818
1951-01-04 0.0 26.89 10.52 3.6011
1951-01-05 0.0 27.91 12.62 4.173
1951-01-06 0.0 28.56 13.8 4.5754
1951-01-07 0.0 28.22 13.88 4.2732
1951-01-08 0.0 28.74 12.63 2.9523
1951-01-09 0.98859 29.77 12.71 1.2134
1951-01-10 0.0 29.74 13.27 1.8435
1951-01-11 0.0 30.1 12.25 0.8933700000000001
1951-01-12 0.0 30.77 13.39 2.7714
1951-01-13 0.0 31.16 15.17 3.0514
1951-01-14 0.0 30.37 15.78 3.6304
1951-01-15 0.44922 31.08 17.41 3.4671
1951-01-16 0.97114 29.99 17.21 1.1955
1951-01-17 0.0 29.4 14.36 3.0614
1951-01-18 0.0 27.99 12.48 1.7033
1951-01-19 0.85405 29.93 15.31 1.2345
1951-01-20 0.45031000000000004 27.42 14.22 0.38111
1951-01-21 0.0 27.66 12.18 0.31683
1951-01-22 0.0 27.38 12.72 2.3282
1951-01-23 0.0 27.05 12.22 2.0234
1951-01-24 0.0 27.8 12.88 3.2143
1951-01-25 0.0 28.85 12.04 3.8827
1951-01-26 0.0 29.19 12.54 2.9366
1951-01-27 0.0 31.02 13.23 2.2745
1951-01-28 0.0 31.3 12.09 0.93725
1951-01-29 0.0 31.09 12.66 1.2882
1951-01-30 0.0 31.06 14.26 4.015
1951-01-31 0.0 30.49 14.05 3.2851
1951-02-01 0.0 30.1 13.77 2.399
1951-02-02 0.0 29.1 11.95 3.213
1951-02-03 0.0 28.97 10.81 3.8837
1951-02-04 0.0 29.0 14.46 3.1198
1951-02-05 0.0 31.23 17.02 1.7486
1951-02-06 0.0 30.01 13.43 1.3502
1951-02-07 0.0 29.27 14.3 2.1928
1951-02-08 0.0 30.37 15.08 3.5248
1951-02-09 0.0 31.97 14.75 2.5879
1951-02-10 0.0 34.04 17.54 1.5919999999999999
1951-02-11 0.0 34.08 16.57 3.4781
1951-02-12 0.0 33.13 14.59 4.3811
1951-02-13 0.0 32.46 12.99 4.361000000000001
1951-02-14 0.0 31.97 12.85 4.4475
1951-02-15 0.0 32.21 12.59 3.8019
1951-02-16 0.0 31.89 11.98 5.1125
1951-02-17 0.0 33.45 13.85 4.3326
1951-02-18 0.0 33.0 13.13 3.4293
1951-02-19 0.0 33.86 14.08 3.1748
1951-02-20 0.0 35.78 15.23 4.7708
1951-02-21 0.0 36.14 15.24 3.7913
1951-02-22 0.0 36.72 15.88 1.9728
1951-02-23 0.0 37.49 17.15 2.2072
1951-02-24 0.0 37.52 17.01 2.5483
1951-02-25 0.0 37.88 17.79 2.0565
1951-02-26 0.0 37.68 17.86 3.1083
1951-02-27 0.0 38.04 19.33 2.6026
1951-02-28 0.0 37.66 18.7 1.6503
1951-03-01 0.0 37.76 17.41 2.4149
1951-03-02 0.0 37.51 17.36 3.1461
1951-03-03 0.0 37.74 17.57 4.3657
1951-03-04 0.0 37.93 18.4 3.3275
1951-03-05 0.0 37.76 18.81 2.5322
1951-03-06 0.0 38.34 19.45 1.6576
1951-03-07 0.0 38.89 20.19 0.22033000000000003
1951-03-08 0.0 39.37 20.69 1.734
1951-03-09 0.0 38.52 21.21 3.4312
1951-03-10 0.0 37.78 22.76 1.1564
1951-03-11 0.0 38.05 21.6 1.6498
1951-03-12 0.0 38.96 23.08 3.4464
1951-03-13 1.3923 37.18 21.65 3.653
1951-03-14 0.0 37.0 21.26 3.1434
1951-03-15 0.0 37.09 21.99 1.7443
1951-03-16 0.0 38.68 24.26 2.3061
1951-03-17 0.0 38.81 23.08 2.4826
1951-03-18 0.0 38.91 21.95 3.4456
1951-03-19 0.0 38.67 23.02 3.3916
1951-03-20 0.0 36.65 21.99 3.8393
1951-03-21 0.0 35.94 20.48 3.0158
